,Brand,Model,Color,Seater,Rating,Warranty(Months),Cost after Discount(%),Original Cost,Discount(%),EMI,Shipping Days
82,Durian,Orchard,Brown,2,4,60,157560,262600,40,7565,2
83,Durian,Venezia,Grey,3,4.5,60,155640,259400,40,7473,2
84,Durian,Venezia,Grey,2,5,60,121920,203200,40,5854,
85,Durian,Venezia,Grey,1,4,60,75480,125800,40,3625,2
86,Casacraft from Pepperfry,Norton,Brown,1,4,36,42999,56999,25,2065,2
87,Casacraft from Pepperfry,Norton,Grey,1,,36,42999,56999,25,2065,2
88,Casacraft from Pepperfry,Norton,Beige,1,4.5,36,42999,56999,25,2065,2
89,Royaloak,Jennifer,Cream,1,4,12,17990,50000,64,864,2
90,Royaloak,Evelyn,Grey,1,4.5,12,17990,50000,64,864,2
91,Royaloak,Wave,Beige,3,4.5,12,48000,90000,47,2305,2
92,Royaloak,Melaka,Beige,3,4.5,12,43000,90000,52,2065,4
93,Casacraft from Pepperfry,Blacksburg,Beige,2,,36,199999,269999,26,9603,2
94,Casacraft from Pepperfry,Riyadh,Green,2,,36,209999,354999,41,10083,
95,Duroflex,Avalon,Grey,1,,12,31999,44000,27,1537,2
96,Recliners India,Omega,Grey,2,,12,73600,217350,66,3534,2
97,Recliners India,Omega,Grey,1,,12,42550,126500,66,2043,2
98,Lezino,Faric,Black,1,,12,56000,85000,34,2689,2
99,Mintwud from Pepperfry,Wakizashi,Grey,2,,36,46999,53999,13,2257,2
100,Durian,Vivian,Green,1,,60,129600,216000,40,6223,2
101,LA-Z-BOY,Dreamtime,Chestnut,1,,20,180500,190000,5,8667,2
102,LA-Z-BOY,Dreamtime,Charcoal,1,,20,180500,190000,5,8667,2
103,LA-Z-BOY,Dreamtime,Charcoal,1,,20,118750,125000,5,5702,
104,LA-Z-BOY,Cardinal,Mocca,1,5,20,180500,190000,5,8667,
105,LA-Z-BOY,Harbortown,Mocca,1,5,20,222300,234000,5,10674,
106,LA-Z-BOY,Harbortown,Mocca,1,4,20,161500,170000,5,7755,
107,LA-Z-BOY,Harbortown,Charcoal,1,5,20,161500,170000,5,7755,
108,LA-Z-BOY,Harbortown,Persimmon,1,5,20,98800,104000,5,4744,
109,Mintwud from Pepperfry,Taki,Grey,1,3.5,36,26879,38999,31,1291,
110,Mintwud from Pepperfry,Taki,Blue,1,5,36,26399,39061,32,1268,4
111,Casacraft from Pepperfry,Norton,Grey,2,,36,69999,79999,13,3361,4
112,Casacraft from Pepperfry,Norton,Grey,3,5,36,89999,106999,16,4322,4
113,Casacraft from Pepperfry,Norton,Beige,2,5,36,69999,79999,13,3361,
114,Casacraft from Pepperfry,Norton,Brown,2,4.5,36,51999,65999,21,2497,
115,Casacraft from Pepperfry,Norton,Grey,1,5,36,31999,42999,26,1537,
116,Casacraft from Pepperfry,Norton,Grey,2,4.5,36,51999,65999,21,2497,
117,Casacraft from Pepperfry,Norton,Beige,2,4.5,36,51999,65999,21,2497,3
118,Green Soul,Shangri,Grey,1,3.5,36,30990,60000,48,1488,3
119,Green Soul,Shangri,Brown,1,3.5,36,31990,65000,51,1536,3
120,Green Soul,Comfy,Brown,1,4.5,12,18990,21990,14,912,3
121,Mintwud from Pepperfry,Yamamoto,Grey,1,5,36,24999,37899,34,1201,3
122,Casacraft from Pepperfry,Norton,Grey,1,5,36,45999,58999,22,2209,3
123,Royaloak,Regal,Brown,3,,60,72000,170000,58,3457,3
124,Royaloak,Nexus,Brown,2,,60,58000,135000,57,2785,3
125,Royaloak,Naples,Brown,2,,12,78000,133000,41,3746,3
126,Durian,Valerano,Brown,3,,12,160440,267400,40,7704,4
127,Durian,Valerano,Brown,2,,24,129600,216000,40,6223,3
128,Nilkamal,Skelton,Brown,2,,24,28900,63000,54,1388,2
129,Royaloak,Georgia,Coffee,3,,24,78000,175000,55,3746,3
130,The Sleep Company,Luxe,Beige,1,,12,30999,47690,35,1489,2
131,The Sleep Company,Luxe,Beige,1,,12,35999,55390,35,1729,2
132,The Sleep Company,Luxe,Grey,1,,36,30999,47690,35,1489,2
133,HomeTown,Enfield,,3,,36,74000,185900,60,3553,2
134,HomeTown,Enfield,,2,4.5,36,55900,155900,64,2684,
135,Casacraft from Pepperfry,Brookhill,Beige,1,4.5,36,55999,74999,25,2689,2
136,Duroflex,Avalon,Brown,1,4.5,36,23464,32999,29,1127,2
137,Duroflex,Avalon,Pink,1,5,36,26599,41999,37,1278,2
138,Duroflex,Avalon,Red,1,5,12,23939,33599,29,1150,
139,Duroflex,Avalon,Orange,1,2,36,23939,33599,29,1150,2
140,Duroflex,Avalon,Blue,1,4.5,36,23939,33599,29,1150,2
141,Nilkamal,Matt,Blue,2,1,36,30890,90900,66,1484,2
142,Duroflex,Avalon,Red,1,4.5,36,18619,26199,29,894,2
143,Star India,Square,Brown,3,,12,98999,128699,23,4754,
144,Star India,Square,Brown,3,,12,71999,86999,17,3457,3
145,Star India,Neo,Black,1,,12,53999,67599,20,2593,3
146,Royaloak,Milano,,3,,12,150000,260000,42,7202,2
147,Royaloak,Milano,,2,,12,125000,215000,42,6002,2
148,Star India,Felso,Olive,,,60,130999,192171,32,6290,
149,Interio By Godrej,Luster,Granite,,,36,207790,235700,12,9977,
150,Casacraft from Pepperfry,Atlantis,Grey,,,12,84999,114999,26,4082,
151,Casacraft from Pepperfry,Montez,Beige,3,,36,58999,79999,26,2833,
152,Casacraft from Pepperfry,Montez,Beige,3,,36,58999,79999,26,2833,
153,Casacraft from Pepperfry,Montez,Green,,,36,79999,109999,27,3841,
154,Casacraft from Pepperfry,Montez,Beige,,,36,79999,109999,27,3841,
155,Casacraft from Pepperfry,Montez,Beige,,,36,79999,109999,27,3841,
156,Casacraft from Pepperfry,Montez,Beige,,,36,79999,109999,27,3841,
157,Casacraft from Pepperfry,Montez,Green,,,36,79999,109999,27,3841,
158,Casacraft from Pepperfry,Montez,Beige,,,36,79999,109999,27,3841,
159,Casacraft from Pepperfry,Montez,Beige,,,36,79999,109999,27,3841,
160,Woodsworth from Pepperfry,Antibes,Teak,3,,36,66999,81999,18,3217,
161,Casacraft from Pepperfry,Nelida,,3,4.5,36,57999,68999,16,2785,
162,Casacraft from Pepperfry,Larenzo,Pink,3,5,36,59999,79999,25,2881,
163,Woodsworth from Pepperfry,Serena,Blue,,,36,55999,72999,23,2689,
164,Woodsworth from Pepperfry,Serena,Blue,,,36,64999,84999,24,3121,
165,Woodsworth from Pepperfry,Serena,Blue,,,36,64999,84999,24,3121,
166,Woodsworth from Pepperfry,Serena,Brown,,,36,55999,72999,23,2689,
