Brand,Model,Color,Seater,Rating,Warranty(Months),Warranty(Years),Original Cost,Discount(%),Discount Amount,Final Price,EMI,Shipping Days,Price Category
Casacraft from Pepperfry,Norton,Brown,1,5.0,36,3,40999,17,7000,33999,1633,4,Mid-Range
Casacraft from Pepperfry,Norton,Brown,2,5.0,36,3,67999,21,14000,53999,2593,4,Mid-Range
Royaloak,Denver,Beige,1,4.0,12,1,80000,56,45000,35000,1681,3,Mid-Range
Casacraft from Pepperfry,Norton,Beige,1,4.5,36,3,57999,21,12000,45999,2209,3,Mid-Range
Casacraft from Pepperfry,Norton,Beige,1,5.0,36,3,57999,21,12000,45999,2209,3,Mid-Range
Casacraft from Pepperfry,Norton,Beige,1,4.5,36,3,50999,20,10000,40999,1969,3,Mid-Range
Casacraft from Pepperfry,Norton,Beige,2,4.5,36,3,89999,21,19000,70999,3409,2,Premium
Casacraft from Pepperfry,Norton,Brown,3,4.5,36,3,106999,16,17000,89999,4322,2,Premium
Casacraft from Pepperfry,Norton,Brown,2,4.5,36,3,129999,19,25000,104999,5042,2,Premium
Casacraft from Pepperfry,Norton,Brown,2,4.5,36,3,79999,13,10000,69999,3361,2,Mid-Range
Casacraft from Pepperfry,Norton,Beige,2,4.5,36,3,99999,20,20000,79999,3841,2,Premium
Casacraft from Pepperfry,Norton,Brown,1,4.5,36,3,58999,22,13000,45999,2209,3,Mid-Range
Royaloak,Dallas,Brown,3,4.5,12,1,200000,52,103000,97000,4658,3,Premium
Royaloak,Dallas,Brown,2,4.5,12,1,135000,53,72000,63000,3025,3,Mid-Range
Royaloak,Dallas,Brown,1,4.5,12,1,87000,54,47000,40000,1921,2,Mid-Range
Durian,Splendor,Green,3,4.5,60,5,448200,40,179280,268920,12912,3,Luxury
Durian,Splendor,Green,2,4.5,60,5,398800,40,159520,239280,11489,3,Luxury
Durian,Oasis,Brown,1,4.5,60,5,238600,40,95440,143160,6874,2,Premium
Durian,Orchard,Brown,2,4.0,60,5,262600,40,105040,157560,7565,2,Luxury
Durian,Venezia,Grey,3,4.5,60,5,259400,40,103760,155640,7473,2,Luxury
Durian,Venezia,Grey,2,5.0,60,5,203200,40,81280,121920,5854,2,Premium
Durian,Venezia,Grey,1,4.0,60,5,125800,40,50320,75480,3625,2,Premium
Casacraft from Pepperfry,Norton,Brown,1,4.0,36,3,56999,25,14000,42999,2065,2,Mid-Range
Casacraft from Pepperfry,Norton,Grey,1,4.5,36,3,56999,25,14000,42999,2065,2,Mid-Range
Casacraft from Pepperfry,Norton,Beige,1,4.5,36,3,56999,25,14000,42999,2065,2,Mid-Range
Royaloak,Jennifer,Cream,1,4.0,12,1,50000,64,32010,17990,864,2,Budget
Royaloak,Evelyn,Grey,1,4.5,12,1,50000,64,32010,17990,864,2,Budget
Royaloak,Wave,Beige,3,4.5,12,1,90000,47,42000,48000,2305,2,Mid-Range
Royaloak,Melaka,Beige,3,4.5,12,1,90000,52,47000,43000,2065,4,Mid-Range
Casacraft from Pepperfry,Blacksburg,Beige,2,4.5,36,3,269999,26,70000,199999,9603,2,Luxury
Casacraft from Pepperfry,Riyadh,Green,2,4.5,36,3,354999,41,145000,209999,10083,2,Luxury
Duroflex,Avalon,Grey,1,4.5,12,1,44000,27,12001,31999,1537,2,Mid-Range
Recliners India,Omega,Grey,2,4.5,12,1,217350,66,143750,73600,3534,2,Premium
Recliners India,Omega,Grey,1,4.5,12,1,126500,66,83950,42550,2043,2,Mid-Range
Lezino,Faric,Black,1,4.5,12,1,85000,34,29000,56000,2689,2,Mid-Range
Mintwud from Pepperfry,Wakizashi,Grey,2,4.5,36,3,53999,13,7000,46999,2257,2,Mid-Range
Durian,Vivian,Green,1,4.5,60,5,216000,40,86400,129600,6223,2,Premium
LA-Z-BOY,Dreamtime,Chestnut,1,4.5,20,1,190000,5,9500,180500,8667,2,Luxury
LA-Z-BOY,Dreamtime,Charcoal,1,4.5,20,1,190000,5,9500,180500,8667,2,Luxury
LA-Z-BOY,Dreamtime,Charcoal,1,4.5,20,1,125000,5,6250,118750,5702,2,Premium
LA-Z-BOY,Cardinal,Mocca,1,5.0,20,1,190000,5,9500,180500,8667,2,Luxury
LA-Z-BOY,Harbortown,Mocca,1,5.0,20,1,234000,5,11700,222300,10674,2,Luxury
LA-Z-BOY,Harbortown,Mocca,1,4.0,20,1,170000,5,8500,161500,7755,2,Luxury
LA-Z-BOY,Harbortown,Charcoal,1,5.0,20,1,170000,5,8500,161500,7755,2,Luxury
LA-Z-BOY,Harbortown,Persimmon,1,5.0,20,1,104000,5,5200,98800,4744,2,Premium
Mintwud from Pepperfry,Taki,Grey,1,3.5,36,3,38999,31,12120,26879,1291,2,Budget
Mintwud from Pepperfry,Taki,Blue,1,5.0,36,3,39061,32,12662,26399,1268,4,Budget
Casacraft from Pepperfry,Norton,Grey,2,4.5,36,3,79999,13,10000,69999,3361,4,Mid-Range
Casacraft from Pepperfry,Norton,Grey,3,5.0,36,3,106999,16,17000,89999,4322,4,Premium
Casacraft from Pepperfry,Norton,Beige,2,5.0,36,3,79999,13,10000,69999,3361,2,Mid-Range
